date,lithium,nickel,platinum,cobalt,copper,cobalt_norm,Copper_pink,Platinum_pink,Nickel_pink
2011-12-01,,18246.0375,1454.590909090909,30808.75,7558.875,67921667.143925,7565.48,1454.59,18266.76
2012-01-01,,19908.61904761905,1499.318181818182,33006.66666666667,8061.916666666667,72767243.94413334,8040.47,1499.32,19854.77
2012-02-01,,20393.66666666667,1657.761904761905,31772.61904761905,8441.488095238095,70046634.64902382,8441.49,1657.76,20393.67
2012-03-01,,18660.80681818182,1655.409090909091,31142.72727272727,8470.784090909092,68657960.99394545,8470.78,1655.41,18660.81
2012-04-01,,17892.81578947368,1585.809523809524,30795.65789473684,8285.526315789473,67892803.99251842,8289.48,1585.81,17939.79
2012-05-01,,16968.31818181818,1470.695652173913,30516.81818181818,7896.909090909091,67278067.65406364,7955.64285714286,1470.7,17068.1904761905
2012-06-01,63643.21697331381,16603.68421052632,1443.857142857143,28831.90789473684,7428.289473684211,63563476.32249342,7423.02380952381,1443.86,16549.1428571429
2012-07-01,63568.83181793182,16128.40909090909,1425.818181818182,28394.07954545455,7584.261363636364,62598230.03998843,7584.26136363636,1425.82,16128.4090909091
2012-08-01,63682.97770550009,15703.98863636364,1453.260869565217,29050.36363636364,7510.431818181818,64045088.79195274,7515.53260869565,1453.26,15735.2065217391
2012-09-01,64069.57020512695,17287.9625,1623.65,29221.25,8087.7425,64421828.734675005,8087.74,1623.65,17287.96
2012-10-01,64650.80208309504,17168.73913043478,1635.826086956522,26896.73913043478,8062.032608695652,59297159.49119565,8062.03,1635.83,17168.74
2012-11-01,64970.67068237064,16335.36363636364,1576.363636363636,23563.40909090909,7711.227272727273,51948424.68613181,7711.22727272727,1576.36,16335.3636363636
2012-12-01,64966.88593049752,17448.5,1579.904761904762,23976.0,7966.486842105263,52858031.937120005,7966.48684210526,1582.25,17448.5
2013-01-01,65091.61180381326,17494.06818181818,1638.891304347826,25518.09090909091,8053.738636363636,56257760.43739819,8047.36,1638.89130434783,17472.5
2013-02-01,64976.62540666475,17690.1,1674.55,25441.325,8060.925,56088520.57777151,8060.925,1674.55,17690.1
2013-03-01,65155.51269425376,16731.7,1582.952380952381,25316.975,7652.375,55814375.7549745,7645.58333333333,1582.95238095238,16724.9285714286
2013-04-01,65464.67141115809,15629.30952380952,1493.068181818182,26209.45238095238,7221.161904761905,57781951.57686048,7234.27954545454,1493.06818181818,15672.9545454545
2013-05-01,65950.2012685351,14948.22619047619,1475.173913043478,27984.38095238095,7248.714285714286,61694999.25431619,7249.41304347826,1475.17391304348,14947.9565217391
2013-06-01,66020.6709760695,14280.275,1430.225,30047.5375,7000.2375,66243480.84779825,7000.2375,1430.23,14280.275
2013-07-01,66023.44333103017,13750.3152173913,1401.478260869565,29290.04347826087,6906.641304347826,64573492.3929574,6906.64130434783,1401.47826086957,13750.3152173913
2013-08-01,66157.08673385964,14308.2619047619,1496.090909090909,26803.42857142857,7186.25,59091444.92212571,7192.92045454545,1496.09090909091,14314.9318181818
2013-09-01,66172.35332436905,13801.39285714286,1456.857142857143,28680.42857142857,7159.269047619048,63229521.57986571,7159.26904761905,1456.86,13801.3928571429
2013-10-01,66349.80294230478,14117.65217391304,1413.478260869565,27037.95652173913,7203.021739130435,59608490.5464026,7203.02173913043,1413.48,14117.652173913
2013-11-01,66467.28749175138,13684.0119047619,1420.095238095238,26172.47619047619,7070.654761904762,57700433.03093524,7070.65476190476,1420.1,13684.0119047619
2013-12-01,66673.81818459182,13924.55,1355.0,26587.775,7214.9,58616010.180470504,7214.9,1355.66666666667,13924.55
2014-01-01,66925.97396344891,14101.25,1420.304347826087,28134.56818181818,7291.465909090909,62026105.41756864,7291.47,1420.95,14101.25
2014-02-01,66601.1971131601,14203.55,1410.5,31081.85,7149.2125,68523749.581447,7149.21,1409.53,14203.55
2014-03-01,65609.67415863957,15678.09523809524,1451.619047619048,30699.42857142857,6650.035714285714,67680654.64964572,6650.04,1451.62,15678.1
2014-04-01,62763.45206152614,17373.6,1432.0,29771.85,6673.5625,65635693.949247,6673.56,1430.33,17373.6
2014-05-01,62513.26777269941,19401.075,1456.204545454545,29993.225,6891.125,66123742.2817495,6891.13,1456.27,19401.08
2014-06-01,62586.78725218371,18628.80952380952,1452.761904761905,30458.59523809524,6821.142857142857,67149708.03532906,6821.14,1452.76,18628.81
2014-07-01,62910.21247075713,19117.65217391304,1492.652173913043,31697.19565217391,7113.380434782609,69880354.52534826,7113.38,1492.18,19117.65
2014-08-01,63367.33947414548,18600.2,1446.333333333333,32341.5565,7001.8375,71300927.02590802,7001.84,1446.33,18600.2
2014-09-01,63527.23188765873,18034.79545454545,1362.363636363636,32350.73863636364,6872.215909090909,71321170.17143524,6872.22,1359.48,18034.8
2014-10-01,63666.21034636748,15812.36956521739,1259.760869565217,31142.42391304348,6737.478260869565,68657292.20032457,6737.48,1259.76,15812.37
2014-11-01,63660.2571965017,15807.05,1208.85,30752.1375,6712.85,67796857.94585025,6712.85,1208.32,15807.05
2014-12-01,62990.88620867148,15962.04761904762,1212.347826086957,30945.21428571429,6446.452380952381,68222519.39503287,6446.45,1215.32,15962.05
2015-01-01,62721.332383483,14849.19047619048,1241.772727272727,30749.47619047619,5830.535714285714,67790990.76267524,5830.54,1242.45,14849.19
2015-02-01,62376.58007806205,14573.8375,1197.6,29155.375,5729.275,64276599.219582506,5729.27,1197.16,14573.84
2015-03-01,62504.8522794935,13755.5,1138.636363636364,27568.78409090909,5939.670454545455,60778765.01271431,5939.67,1138.64,13755.5
2015-04-01,62879.05216442636,12830.925,1150.454545454545,28827.275,6042.0875,63553262.53796051,6042.09,1151.29,12830.92
2015-05-01,62865.928170524,13511.34210526316,1139.809523809524,30066.57894736842,6294.776315789474,66285460.053384215,6294.78,1140.4,13511.34
2015-06-01,65774.04402044808,12825.22727272727,1088.772727272727,30650.38636363636,5833.011363636364,67572535.08901227,5833.01,1088.82,12825.23
2015-07-01,66036.930135774,11413.09782608696,1012.434782608696,31579.86956521739,5456.75,69621694.78012782,5456.75,1009.27,11413.1
2015-08-01,64690.82054201086,10386.0,984.095238095238,29243.95,5127.3,64471873.668149,5127.3,984.1,10386.0
2015-09-01,64377.953626147,9937.545454545456,965.3636363636364,27714.30681818182,5217.25,61099587.70898387,5217.25,964.38,9937.55
2015-10-01,66928.62550855718,10316.82954545455,976.9090909090908,27499.04545454545,5216.090909090909,60625017.63749908,5216.09,976.91,10316.83
2015-11-01,69058.99003943695,9244.333333333332,883.5238095238095,24413.70238095238,4799.904761904762,53823000.50699548,4799.9,885.2,9244.33
