date,lithium,nickel,platinum,cobalt,copper
2015-07-01,66036.930135774,11413.09782608696,1012.434782608696,31579.86956521739,5456.75
2015-08-01,64690.82054201086,10386.0,984.095238095238,29243.95,5127.3
2015-09-01,64377.953626147,9937.545454545456,965.3636363636364,27714.30681818182,5217.25
2015-10-01,66928.62550855718,10316.82954545455,976.9090909090908,27499.04545454545,5216.090909090909
2015-11-01,69058.99003943695,9244.333333333332,883.5238095238095,24413.70238095238,4799.904761904762
2015-12-01,72882.47516935048,8707.785714285714,859.9130434782609,23951.17857142857,4638.833333333333
2016-01-01,72300.73827338257,8507.2875,854.7619047619048,23134.6,4471.7875
2016-02-01,72545.63401810687,8298.5,920.2380952380952,22275.88095238095,4598.619047619048
2016-03-01,78006.30430669061,8717.25,967.4347826086956,22982.52380952381,4953.797619047619
2016-04-01,81775.70621802637,8878.857142857143,994.1904761904761,23000.5,4872.738095238095
2016-05-01,103004.9361784896,8660.35,1032.863636363636,23413.625,4694.5375
2016-06-01,106175.680628503,8928.352272727274,984.1363636363636,23692.72727272727,4641.965909090909
2016-07-01,104821.5470943987,10262.85714285714,1086.47619047619,25085.52380952381,4864.904761904762
2016-08-01,105275.5106989647,10335.98863636364,1121.739130434783,26296.59090909091,4751.670454545455
2016-09-01,104905.3343891721,10191.78409090909,1045.954545454545,26625.0,4722.204545454545
2016-10-01,111785.5400678893,10259.7380952381,959.1428571428572,28205.66666666667,4731.261904761905
2016-11-01,116946.2363305109,11128.90909090909,953.2727272727273,29258.40909090909,5450.931818181818
2016-12-01,115548.9336889213,10972.275,917.5,31589.375,5660.35
2017-01-01,116016.211055313,9971.464285714286,968.4090909090908,34720.38095238095,5754.559523809524
2017-02-01,116384.7304306754,10643.3,1007.35,43005.0,5940.9125
2017-03-01,115996.7948326595,10204.66304347826,962.2608695652174,52765.21739130435,5824.630434782609
2017-04-01,116089.7759779202,9609.277777777777,961.4,55305.55555555556,5683.902777777778
2017-05-01,116156.845178383,9155.119047619048,931.7826086956522,54941.94047619048,5599.559523809524
2017-06-01,117521.6780900759,8931.761363636364,930.7272727272727,57449.45454545455,5719.761363636364
2017-07-01,118117.0270504819,9491.392857142857,918.3809523809524,58548.90476190476,5985.119047619048
